ID,duration,wav,spk_id,wrd,lang
1_Freak_-_Automatisch_Gekommen_0,2.6702947849999994,jamendolyrics/1_Freak_-_Automatisch_Gekommen_0.wav,1_Freak_-_Automatisch_Gekommen_0_german,ICH WÜRD' SO GERNE MEINEN NAMEN VERLIER'N,de
1_Freak_-_Automatisch_Gekommen_1,1.4875283450000012,jamendolyrics/1_Freak_-_Automatisch_Gekommen_1.wav,1_Freak_-_Automatisch_Gekommen_1_german,DAS WÄR' SCHON OKAY,de
1_Freak_-_Automatisch_Gekommen_2,2.6819047609999984,jamendolyrics/1_Freak_-_Automatisch_Gekommen_2.wav,1_Freak_-_Automatisch_Gekommen_2_german,VOLLKOMMEN UNERKANNT DURCH STRASSEN MASCHIER'N,de
1_Freak_-_Automatisch_Gekommen_3,1.719727890999998,jamendolyrics/1_Freak_-_Automatisch_Gekommen_3.wav,1_Freak_-_Automatisch_Gekommen_3_german,NO YOU DON'T KNOW ME,de
1_Freak_-_Automatisch_Gekommen_4,2.638367346999999,jamendolyrics/1_Freak_-_Automatisch_Gekommen_4.wav,1_Freak_-_Automatisch_Gekommen_4_german,ES WÜRDE NIEMAND DANACH FRAGEN WAS GEHT,de
1_Freak_-_Automatisch_Gekommen_5,1.6261224490000004,jamendolyrics/1_Freak_-_Automatisch_Gekommen_5.wav,1_Freak_-_Automatisch_Gekommen_5_german,ALTER SCHEISS AUF MEIN SMARTPHONE,de
1_Freak_-_Automatisch_Gekommen_6,2.592653061,jamendolyrics/1_Freak_-_Automatisch_Gekommen_6.wav,1_Freak_-_Automatisch_Gekommen_6_german,UND ICH HÄTTE ENDLICH ZEIT ZU VERSTEH'N,de
1_Freak_-_Automatisch_Gekommen_7,1.297777778000004,jamendolyrics/1_Freak_-_Automatisch_Gekommen_7.wav,1_Freak_-_Automatisch_Gekommen_7_german,ICH MUSS EINFACH MAL KLAR KOMMEN,de
1_Freak_-_Automatisch_Gekommen_8,2.017959183999998,jamendolyrics/1_Freak_-_Automatisch_Gekommen_8.wav,1_Freak_-_Automatisch_Gekommen_8_german,ICH SCHLIESS' MICH EIN,de
1_Freak_-_Automatisch_Gekommen_9,1.808253968999999,jamendolyrics/1_Freak_-_Automatisch_Gekommen_9.wav,1_Freak_-_Automatisch_Gekommen_9_german,UND KOMM' NICHT RAUS,de
1_Freak_-_Automatisch_Gekommen_10,2.726167800000006,jamendolyrics/1_Freak_-_Automatisch_Gekommen_10.wav,1_Freak_-_Automatisch_Gekommen_10_german,ICH BIN EIN FREAK EIN FREAK,de
1_Freak_-_Automatisch_Gekommen_11,1.8343764169999943,jamendolyrics/1_Freak_-_Automatisch_Gekommen_11.wav,1_Freak_-_Automatisch_Gekommen_11_german,REDE STÄNDIG VON MEINEM WUNDERSCHÖNEN GLIED,de
1_Freak_-_Automatisch_Gekommen_12,2.695102041000005,jamendolyrics/1_Freak_-_Automatisch_Gekommen_12.wav,1_Freak_-_Automatisch_Gekommen_12_german,ICH BIN EIN FREAK EIN FREAK,de
1_Freak_-_Automatisch_Gekommen_13,1.832743764,jamendolyrics/1_Freak_-_Automatisch_Gekommen_13.wav,1_Freak_-_Automatisch_Gekommen_13_german,GLAUBE NICHT DASS ES FÜR MICH HIER ETWAS GIBT,de
1_Freak_-_Automatisch_Gekommen_14,2.7270294790000023,jamendolyrics/1_Freak_-_Automatisch_Gekommen_14.wav,1_Freak_-_Automatisch_Gekommen_14_german,ICH BIN EIN FREAK EIN FREAK,de
1_Freak_-_Automatisch_Gekommen_15,1.8409070289999927,jamendolyrics/1_Freak_-_Automatisch_Gekommen_15.wav,1_Freak_-_Automatisch_Gekommen_15_german,REDE STÄNDIG NUR VON MEINER SCHEISS MUSIK,de
1_Freak_-_Automatisch_Gekommen_16,2.665941043000004,jamendolyrics/1_Freak_-_Automatisch_Gekommen_16.wav,1_Freak_-_Automatisch_Gekommen_16_german,ICH BIN EIN FREAK EIN FREAK,de
1_Freak_-_Automatisch_Gekommen_17,1.8053507760000045,jamendolyrics/1_Freak_-_Automatisch_Gekommen_17.wav,1_Freak_-_Automatisch_Gekommen_17_german,GLAUBE NICHT DASS MICH VON EUCH JEMAND BESIEGT,de
1_Freak_-_Automatisch_Gekommen_18,1.3728805169999916,jamendolyrics/1_Freak_-_Automatisch_Gekommen_18.wav,1_Freak_-_Automatisch_Gekommen_18_german,ICH BIN EIN FREAK,de
1_Freak_-_Automatisch_Gekommen_19,2.5302494329999945,jamendolyrics/1_Freak_-_Automatisch_Gekommen_19.wav,1_Freak_-_Automatisch_Gekommen_19_german,ICH WÜRD' SO GERN' DEN GANZEN TAG MUSIZIER'N,de
1_Freak_-_Automatisch_Gekommen_20,1.7224489790000064,jamendolyrics/1_Freak_-_Automatisch_Gekommen_20.wav,1_Freak_-_Automatisch_Gekommen_20_german,SO MIT HOES UND COCAIN,de
1_Freak_-_Automatisch_Gekommen_21,2.7749659870000016,jamendolyrics/1_Freak_-_Automatisch_Gekommen_21.wav,1_Freak_-_Automatisch_Gekommen_21_german,WER DAS NICHT WILL KANN BEI MIR ORAL PROBIEREN,de
1_Freak_-_Automatisch_Gekommen_22,1.688163265,jamendolyrics/1_Freak_-_Automatisch_Gekommen_22.wav,1_Freak_-_Automatisch_Gekommen_22_german,KÖNNTE SOFORT LOS GEH'N,de
1_Freak_-_Automatisch_Gekommen_23,2.702585033999995,jamendolyrics/1_Freak_-_Automatisch_Gekommen_23.wav,1_Freak_-_Automatisch_Gekommen_23_german,HÖRT SICH DAS AN ALS WÜRD' ICH SPANISCH VERSTEH'N,de
1_Freak_-_Automatisch_Gekommen_24,1.4243990930000052,jamendolyrics/1_Freak_-_Automatisch_Gekommen_24.wav,1_Freak_-_Automatisch_Gekommen_24_german,UNA LOCO PENDEJO,de
1_Freak_-_Automatisch_Gekommen_25,2.600634921000008,jamendolyrics/1_Freak_-_Automatisch_Gekommen_25.wav,1_Freak_-_Automatisch_Gekommen_25_german,ICH ZEIG DIR EINFACH MEINEN PENIS UND GEH,de
