ID,duration,wav,spk_id,wrd
HILA_-_Give_Me_the_Same_0,1.2530352668000013,jamendolyrics/HILA_-_Give_Me_the_Same_0.wav,HILA_-_Give_Me_the_Same_0_english,LAY AWAKE AT NIGHT
HILA_-_Give_Me_the_Same_1,1.283993780400003,jamendolyrics/HILA_-_Give_Me_the_Same_1.wav,HILA_-_Give_Me_the_Same_1_english,WONDERING HOW COULD I
HILA_-_Give_Me_the_Same_2,1.4011386659999978,jamendolyrics/HILA_-_Give_Me_the_Same_2.wav,HILA_-_Give_Me_the_Same_2_english,LET IT GET THIS WAY
HILA_-_Give_Me_the_Same_3,1.199015130200003,jamendolyrics/HILA_-_Give_Me_the_Same_3.wav,HILA_-_Give_Me_the_Same_3_english,THROUGH ALL THE PAIN
HILA_-_Give_Me_the_Same_4,1.3984745117999964,jamendolyrics/HILA_-_Give_Me_the_Same_4.wav,HILA_-_Give_Me_the_Same_4_english,I TOOK ALL THE BLAME
HILA_-_Give_Me_the_Same_5,1.484793556399996,jamendolyrics/HILA_-_Give_Me_the_Same_5.wav,HILA_-_Give_Me_the_Same_5_english,WHILE YOU CURSED MY LAST NAME
HILA_-_Give_Me_the_Same_6,1.672940716200003,jamendolyrics/HILA_-_Give_Me_the_Same_6.wav,HILA_-_Give_Me_the_Same_6_english,I THOUGHT WE COULD GET BETTER
HILA_-_Give_Me_the_Same_7,1.644801600000001,jamendolyrics/HILA_-_Give_Me_the_Same_7.wav,HILA_-_Give_Me_the_Same_7_english,STAYED COMMITTED LIKE A SOLDIER
HILA_-_Give_Me_the_Same_8,1.3438006988000026,jamendolyrics/HILA_-_Give_Me_the_Same_8.wav,HILA_-_Give_Me_the_Same_8_english,BELIEVED WE'RE OKAY
HILA_-_Give_Me_the_Same_9,8.1484488296,jamendolyrics/HILA_-_Give_Me_the_Same_9.wav,HILA_-_Give_Me_the_Same_9_english,NOW I KNOW THAT YOU DON'T CARE AT ALL
